sample_index,split,logit_class_0,logit_class_1,logit_difference_z1_minus_z0,prob_predict_proba_class_0,prob_predict_proba_class_1,prob_softmax_logits_class_0,prob_softmax_logits_class_1,abs_diff_class_0,abs_diff_class_1,actual_target
32,train,10.288941,-9.772023,-20.060965,1.0,1.9392499e-09,1.0,1.9392499e-09,0.0,0.0,0
33,train,-4.329614,5.209652,9.539267,7.196443e-05,0.999928,7.196443e-05,0.999928,0.0,0.0,1
34,train,13.46882,-12.597027,-26.065845,1.0,4.783515e-12,1.0,4.783515e-12,0.0,0.0,0
35,train,9.482025,-9.07756,-18.559586,1.0,8.7031085e-09,1.0,8.7031085e-09,0.0,0.0,0
36,train,6.615028,-6.2073817,-12.82241,0.99999726,2.6995851e-06,0.99999726,2.6995851e-06,0.0,0.0,0
37,train,6.1383433,-6.095745,-12.234089,0.9999951,4.8618394e-06,0.9999951,4.861839e-06,0.0,4.5474735e-13,0
38,train,4.210513,-4.3282475,-8.538761,0.9998043,0.0001956943,0.9998043,0.0001956943,0.0,0.0,0
39,train,0.15269783,0.07959691,-0.073100924,0.5182671,0.4817329,0.5182671,0.4817329,0.0,0.0,0
40,train,-4.551586,5.661418,10.213004,3.6688736e-05,0.9999633,3.6688733e-05,0.9999633,3.637979e-12,0.0,1
41,train,0.104753435,0.10703844,0.0022850037,0.49942875,0.50057125,0.49942878,0.50057125,2.9802322e-08,0.0,0
42,train,12.878622,-12.386313,-25.264935,1.0,1.0655611e-11,1.0,1.065561e-11,0.0,8.6736174e-19,0
43,train,2.2998486,-1.9028914,-4.2027397,0.9852658,0.014734206,0.9852658,0.014734206,0.0,0.0,0
44,train,4.462112,-3.8273802,-8.289492,0.9997489,0.00025107904,0.9997489,0.00025107904,0.0,0.0,0
45,train,9.631732,-8.838774,-18.470505,1.0,9.513968e-09,1.0,9.513968e-09,0.0,0.0,0
46,train,13.743931,-12.685113,-26.429043,1.0,3.3266916e-12,1.0,3.3266916e-12,0.0,0.0,0
47,train,6.354821,-5.776906,-12.131727,0.99999464,5.385865e-06,0.99999464,5.3858653e-06,0.0,4.5474735e-13,0
48,train,8.685412,-8.208635,-16.894047,1.0,4.6026578e-08,1.0,4.6026578e-08,0.0,0.0,0
49,train,6.08027,-5.505518,-11.585788,0.9999907,9.297202e-06,0.9999907,9.297202e-06,0.0,0.0,0
50,train,8.525336,-7.616431,-16.141768,0.9999999,9.766116e-08,0.9999999,9.76606e-08,0.0,5.5422333e-13,0
51,train,3.709228,-3.53993,-7.249158,0.99928975,0.00071026786,0.99928975,0.0007102678,0.0,5.820766e-11,0
52,train,7.9673257,-7.3803205,-15.347647,0.99999976,2.1607354e-07,0.99999976,2.1607353e-07,0.0,1.4210855e-14,0
53,train,7.7198267,-7.4490194,-15.168846,0.99999976,2.5837693e-07,0.99999976,2.5837693e-07,0.0,0.0,0
54,train,5.094895,-4.8199573,-9.914852,0.9999505,4.9432543e-05,0.9999505,4.9432543e-05,0.0,0.0,0
55,train,10.492251,-9.811638,-20.30389,1.0,1.5210115e-09,1.0,1.5210114e-09,0.0,1.110223e-16,0
56,train,9.366668,-9.801874,-19.168541,1.0,4.733784e-09,1.0,4.733784e-09,0.0,0.0,0
57,train,4.0375915,-3.3993468,-7.4369383,0.9994112,0.0005887392,0.9994112,0.0005887392,0.0,0.0,0
58,train,5.568003,-4.944997,-10.5130005,0.9999728,2.718004e-05,0.9999728,2.718004e-05,0.0,0.0,0
59,train,10.279396,-10.048008,-20.327404,1.0,1.485664e-09,1.0,1.4856639e-09,0.0,1.110223e-16,0
60,train,4.52242,-3.8702164,-8.392636,0.99977356,0.00022647799,0.99977356,0.00022647798,0.0,1.4551915e-11,0
61,train,10.020225,-9.570689,-19.590914,1.0,3.1029463e-09,1.0,3.1029461e-09,0.0,2.220446e-16,0
62,train,2.8466709,-2.6672482,-5.513919,0.9959859,0.004014104,0.9959859,0.0040141046,0.0,4.656613e-10,0
63,train,-4.9233665,7.319478,12.242845,4.8194565e-06,0.99999523,4.8194565e-06,0.99999523,0.0,0.0,1
64,train,6.028742,-5.5763597,-11.605102,0.99999094,9.119362e-06,0.99999094,9.119362e-06,0.0,0.0,0
65,train,9.986586,-9.68602,-19.672606,1.0,2.8595388e-09,1.0,2.8595386e-09,0.0,2.220446e-16,0
66,train,4.059376,-3.7544968,-7.8138723,0.99959606,0.00040392703,0.99959606,0.000403927,0.0,2.910383e-11,0
67,train,9.669726,-8.896489,-18.566216,1.0,8.645598e-09,1.0,8.645598e-09,0.0,0.0,0
68,train,7.0713553,-6.7027936,-13.774149,0.9999989,1.0422278e-06,0.9999989,1.0422278e-06,0.0,0.0,0
69,train,2.9191124,-2.880227,-5.7993393,0.9969796,0.003020405,0.9969796,0.0030204048,0.0,2.3283064e-10,0
70,train,-0.5215167,0.8650067,1.3865234,0.19996335,0.8000366,0.19996335,0.8000366,0.0,0.0,0
71,train,8.697029,-7.6475825,-16.344612,0.9999999,7.973061e-08,0.9999999,7.973062e-08,0.0,7.1054274e-15,0
72,train,-0.7001308,1.1007664,1.8008972,0.14174189,0.8582581,0.14174189,0.8582581,0.0,0.0,0
73,train,5.9208922,-5.3820963,-11.302988,0.9999877,1.2335857e-05,0.9999877,1.2335856e-05,0.0,9.094947e-13,0
74,train,4.184451,-4.024864,-8.209315,0.9997279,0.00027203292,0.9997279,0.00027203292,0.0,0.0,0
75,train,2.50336,-1.9887048,-4.492065,0.98892653,0.011073503,0.98892653,0.011073502,0.0,9.313226e-10,0
76,train,4.3169646,-3.6190922,-7.936057,0.9996425,0.00035748587,0.9996425,0.00035748584,0.0,2.910383e-11,0
77,train,7.631257,-6.776631,-14.407888,0.9999994,5.530125e-07,0.9999994,5.530104e-07,0.0,2.1032065e-12,0
78,train,7.0200458,-6.4358163,-13.455862,0.99999857,1.4328236e-06,0.99999857,1.4328238e-06,0.0,1.1368684e-13,0
79,train,1.446128,-1.1685307,-2.6146588,0.9317991,0.068200946,0.9317991,0.068200946,0.0,0.0,0
80,train,14.396464,-13.000272,-27.396736,1.0,1.2640046e-12,1.0,1.2640047e-12,0.0,1.0842022e-19,0
81,train,1.3808949,-1.0111471,-2.3920422,0.9162185,0.08378154,0.9162185,0.08378154,0.0,0.0,0
82,train,7.4901714,-6.594032,-14.084204,0.9999993,7.643772e-07,0.9999993,7.6437715e-07,0.0,5.684342e-14,0
83,train,5.96859,-5.692256,-11.660846,0.9999914,8.624925e-06,0.9999914,8.624925e-06,0.0,0.0,0
84,train,7.834999,-7.081814,-14.916813,0.99999964,3.3243774e-07,0.99999964,3.3243774e-07,0.0,0.0,0
85,train,5.043341,-4.7397614,-9.783102,0.9999436,5.63934e-05,0.9999436,5.63934e-05,0.0,0.0,0
86,train,-3.147149,4.3590145,7.5061636,0.00054938387,0.9994506,0.00054938387,0.9994506,0.0,0.0,1
87,train,10.717283,-11.060072,-21.777355,1.0,3.4850967e-10,1.0,3.4850964e-10,0.0,2.7755576e-17,0
88,train,9.769359,-9.475605,-19.244965,1.0,4.3854893e-09,1.0,4.3854893e-09,0.0,0.0,0
89,train,5.6235566,-4.853272,-10.476829,0.99997187,2.8181164e-05,0.99997187,2.8181166e-05,0.0,1.8189894e-12,0
90,train,2.6918528,-2.2463262,-4.938179,0.9928833,0.007116629,0.9928833,0.007116629,0.0,0.0,0
91,train,1.7122781,-1.4136516,-3.1259298,0.95794976,0.04205026,0.95794976,0.04205026,0.0,0.0,0
92,train,11.163573,-11.786493,-22.950066,1.0,1.078731e-10,1.0,1.078731e-10,0.0,0.0,0
93,train,10.117072,-10.606161,-20.723232,1.0,1.0000336e-09,1.0,1.0000336e-09,0.0,0.0,0
94,train,10.830522,-10.55965,-21.390171,1.0,5.132947e-10,1.0,5.132947e-10,0.0,0.0,0
95,train,9.399477,-8.427969,-17.827446,1.0,1.8098333e-08,1.0,1.8098333e-08,0.0,0.0,0
96,train,10.858362,-10.670262,-21.528625,1.0,4.4692716e-10,1.0,4.4692716e-10,0.0,0.0,0
97,train,8.556069,-7.3976827,-15.9537525,0.9999999,1.1786185e-07,0.9999999,1.1786186e-07,0.0,7.1054274e-15,0
98,train,5.7895184,-5.5676775,-11.357196,0.9999883,1.1684966e-05,0.9999883,1.1684965e-05,0.0,9.094947e-13,0
99,train,-2.6370769,4.5726843,7.209761,0.00073878746,0.9992612,0.00073878746,0.9992612,0.0,0.0,1
100,train,11.78223,-10.747154,-22.529385,1.0,1.6429055e-10,1.0,1.6429055e-10,0.0,0.0,0
101,train,6.0824623,-5.1500916,-11.2325535,0.99998677,1.3236046e-05,0.99998677,1.3236046e-05,0.0,0.0,0
102,train,1.5384458,-1.1872872,-2.725733,0.9385282,0.06147188,0.9385282,0.06147188,0.0,0.0,0
103,train,6.3160496,-5.275642,-11.591692,0.9999907,9.242472e-06,0.9999907,9.242472e-06,0.0,0.0,0
104,train,11.073379,-11.461105,-22.534485,1.0,1.6345476e-10,1.0,1.6345476e-10,0.0,0.0,0
105,train,11.938882,-11.47399,-23.412872,1.0,6.790766e-11,1.0,6.790766e-11,0.0,0.0,0
106,train,-4.2521935,5.2425423,9.494736,7.5241245e-05,0.9999248,7.524125e-05,0.9999248,7.275958e-12,0.0,1
107,train,10.748475,-10.386362,-21.134838,1.0,6.6260764e-10,1.0,6.626075e-10,0.0,1.110223e-16,0
108,train,8.389663,-7.9148154,-16.304478,0.9999999,8.299563e-08,0.9999999,8.299564e-08,0.0,7.1054274e-15,0
109,train,10.122137,-9.145201,-19.267338,1.0,4.2884616e-09,1.0,4.2884616e-09,0.0,0.0,0
110,train,7.29288,-7.7570686,-15.049949,0.99999976,2.9099817e-07,0.99999976,2.9099817e-07,0.0,0.0,0
111,train,7.9647236,-7.382619,-15.3473425,0.99999976,2.161393e-07,0.99999976,2.1613928e-07,0.0,1.4210855e-14,0
112,train,10.944954,-11.612637,-22.55759,1.0,1.5972133e-10,1.0,1.5972133e-10,0.0,0.0,0
113,train,5.0167937,-4.286575,-9.303369,0.9999089,9.110848e-05,0.9999089,9.1108486e-05,0.0,7.275958e-12,0
114,train,8.040961,-7.2460713,-15.287033,0.99999976,2.2957563e-07,0.99999976,2.2957563e-07,0.0,0.0,0
115,train,17.29826,-15.400875,-32.699135,1.0,6.294282e-15,1.0,6.2942815e-15,0.0,4.2351647e-22,0
116,train,9.708351,-8.328125,-18.036476,1.0,1.4684459e-08,1.0,1.4684458e-08,0.0,8.881784e-16,0
117,train,4.3590903,-4.2635326,-8.622623,0.99982005,0.00017995505,0.99982005,0.00017995505,0.0,0.0,0
118,train,12.087091,-11.231785,-23.318876,1.0,7.4600326e-11,1.0,7.4600326e-11,0.0,0.0,0
119,train,9.234909,-8.528574,-17.763483,1.0,1.929378e-08,1.0,1.929378e-08,0.0,0.0,0
120,train,12.405651,-11.904049,-24.3097,1.0,2.7696918e-11,1.0,2.7696918e-11,0.0,0.0,0
121,train,11.711917,-11.187478,-22.899395,1.0,1.1347995e-10,1.0,1.1347995e-10,0.0,0.0,0
122,train,-2.6595998,5.1592255,7.8188252,0.00040193216,0.9995981,0.00040193213,0.9995981,2.910383e-11,0.0,1
123,train,2.435524,-2.4279926,-4.863517,0.99233586,0.0076640826,0.99233586,0.0076640826,0.0,0.0,0
124,train,4.3993816,-3.8695374,-8.268919,0.99974364,0.00025629657,0.99974364,0.00025629654,0.0,2.910383e-11,0
125,train,6.311887,-6.706191,-13.018078,0.99999774,2.2198296e-06,0.99999774,2.2198296e-06,0.0,0.0,0
126,train,7.0241485,-6.401226,-13.425375,0.99999857,1.4771789e-06,0.99999857,1.4771788e-06,0.0,1.1368684e-13,0
127,train,9.037203,-8.458308,-17.49551,1.0,2.5222986e-08,1.0,2.5222986e-08,0.0,0.0,0
128,train,10.029754,-9.62216,-19.651913,1.0,2.919327e-09,1.0,2.9193272e-09,0.0,2.220446e-16,0
129,train,8.284941,-7.3694296,-15.65437,0.9999999,1.5899876e-07,0.9999999,1.5899862e-07,0.0,1.4210855e-13,0
130,train,1.1713054,-1.2532194,-2.4245248,0.9186784,0.081321575,0.9186784,0.08132156,0.0,1.4901161e-08,0
131,train,3.690082,-3.6023,-7.2923822,0.9993198,0.00068024144,0.9993198,0.00068024144,0.0,0.0,0
132,train,3.3706222,-3.200928,-6.5715504,0.99860233,0.0013976695,0.99860233,0.0013976695,0.0,0.0,0
133,train,13.018486,-12.178717,-25.197203,1.0,1.1402338e-11,1.0,1.1402338e-11,0.0,0.0,0
134,train,4.7358336,-4.367574,-9.103408,0.99988866,0.000111273526,0.99988866,0.00011127352,0.0,7.275958e-12,0
135,train,9.348808,-9.487305,-18.836113,1.0,6.6005494e-09,1.0,6.6005494e-09,0.0,0.0,0
136,train,-0.6494562,0.99854875,1.648005,0.16137876,0.8386212,0.16137876,0.8386213,0.0,1.1920929e-07,0
137,train,5.322778,-4.6115026,-9.93428,0.9999515,4.8481466e-05,0.9999515,4.8481466e-05,0.0,0.0,0
138,train,0.830034,-0.7503749,-1.5804089,0.82926244,0.17073758,0.82926244,0.17073758,0.0,0.0,0
139,train,3.1072655,-2.9185326,-6.025798,0.9975902,0.0024098023,0.9975902,0.0024098023,0.0,0.0,0
140,train,2.3102605,-1.8804636,-4.1907244,0.9850904,0.014909655,0.9850904,0.014909655,0.0,0.0,0
141,train,4.243491,-3.8819237,-8.125415,0.9997042,0.00029583438,0.9997042,0.00029583438,0.0,0.0,0
142,train,5.453826,-4.652073,-10.105899,0.9999591,4.0836276e-05,0.9999591,4.0836276e-05,0.0,0.0,0
143,train,11.459901,-10.226971,-21.68687,1.0,3.8151515e-10,1.0,3.815151e-10,0.0,5.551115e-17,0
144,train,2.7063608,-2.6760945,-5.3824553,0.99542457,0.004575491,0.99542457,0.004575491,0.0,0.0,0
145,train,6.821608,-6.188324,-13.009932,0.99999774,2.2379868e-06,0.99999774,2.237987e-06,0.0,2.2737368e-13,0
146,train,6.1852417,-5.659008,-11.84425,0.99999285,7.1796717e-06,0.99999285,7.1796717e-06,0.0,0.0,0
147,train,-0.5881196,1.0592117,1.6473314,0.16146995,0.83853006,0.16146995,0.83853006,0.0,0.0,0
148,train,13.747189,-12.924178,-26.671368,1.0,2.6107916e-12,1.0,2.6107914e-12,0.0,2.1684043e-19,0
149,train,-3.7591586,4.5869513,8.346109,0.00023726172,0.9997627,0.00023726173,0.9997627,1.4551915e-11,0.0,1
150,train,-0.82602155,1.3115774,2.137599,0.10549574,0.89450425,0.10549575,0.89450425,7.450581e-09,0.0,1
151,train,12.60853,-11.593065,-24.201595,1.0,3.085892e-11,1.0,3.085892e-11,0.0,0.0,0
152,train,10.623196,-11.266913,-21.89011,1.0,3.1134795e-10,1.0,3.1134798e-10,0.0,2.7755576e-17,0
153,train,8.316847,-7.4099183,-15.726765,0.9999999,1.4789478e-07,0.9999999,1.4789478e-07,0.0,0.0,0
154,train,11.2494,-11.937047,-23.186447,1.0,8.5163585e-11,1.0,8.5163585e-11,0.0,0.0,0
155,train,10.972174,-10.349504,-21.321678,1.0,5.4968363e-10,1.0,5.4968363e-10,0.0,0.0,0
156,train,9.212814,-8.3412285,-17.554043,1.0,2.3788994e-08,1.0,2.3788992e-08,0.0,1.7763568e-15,0
157,train,5.9515457,-5.1484632,-11.100009,0.99998486,1.5111959e-05,0.99998486,1.511196e-05,0.0,9.094947e-13,0
158,train,-0.7290782,1.1769277,1.9060059,0.12943023,0.8705697,0.12943023,0.8705697,0.0,0.0,1
159,train,7.708092,-6.6230745,-14.331167,0.9999994,5.9710806e-07,0.9999994,5.97108e-07,0.0,5.684342e-14,0
160,train,9.663321,-9.033413,-18.696733,1.0,7.5877296e-09,1.0,7.5877296e-09,0.0,0.0,0
161,train,7.965986,-8.399384,-16.36537,0.9999999,7.809265e-08,0.9999999,7.8092654e-08,0.0,7.1054274e-15,0
162,train,-4.0521526,5.1528444,9.204997,0.000100525656,0.9998995,0.00010052566,0.9998995,7.275958e-12,0.0,1
163,train,-2.786793,4.356068,7.1428614,0.0007898626,0.9992101,0.00078986265,0.9992101,5.820766e-11,0.0,1
164,train,5.644543,-5.368798,-11.013341,0.99998355,1.6480093e-05,0.99998355,1.6480093e-05,0.0,0.0,0
165,train,0.30477977,-0.09678866,-0.4015684,0.5990644,0.40093556,0.5990644,0.4009356,0.0,2.9802322e-08,0
166,train,9.129634,-9.198023,-18.327656,1.0,1.0974891e-08,1.0,1.0974891e-08,0.0,0.0,0
167,train,12.402993,-11.588249,-23.991241,1.0,3.8083446e-11,1.0,3.8083446e-11,0.0,0.0,0
168,train,10.330307,-8.861496,-19.191803,1.0,4.6249373e-09,1.0,4.6249378e-09,0.0,4.440892e-16,0
169,train,4.254746,-4.2125726,-8.467319,0.9997898,0.00021018367,0.9997898,0.00021018367,0.0,0.0,0
170,train,2.877181,-2.6457138,-5.522895,0.9960217,0.003978378,0.9960217,0.0039783777,0.0,4.656613e-10,0
171,train,7.103854,-6.7428985,-13.846752,0.99999905,9.692404e-07,0.99999905,9.692404e-07,0.0,0.0,0
172,train,-2.4243941,3.3139536,5.738348,0.0032097476,0.99679023,0.0032097476,0.99679023,0.0,0.0,1
173,train,8.561029,-9.003915,-17.564945,1.0,2.3531046e-08,1.0,2.3531046e-08,0.0,0.0,0
174,train,5.4773273,-6.219429,-11.696756,0.99999166,8.320696e-06,0.99999166,8.320696e-06,0.0,0.0,0
175,train,4.272514,-3.7432823,-8.015797,0.9996699,0.00033009608,0.9996699,0.00033009608,0.0,0.0,0
176,train,-0.39481643,0.6729139,1.0677303,0.25583497,0.74416506,0.25583497,0.74416506,0.0,0.0,1
177,train,4.256397,-3.6864989,-7.942896,0.999645,0.00035505038,0.999645,0.00035505032,0.0,5.820766e-11,0
178,train,4.6474943,-4.611287,-9.258781,0.99990475,9.526227e-05,0.99990475,9.526227e-05,0.0,0.0,0
179,train,9.212563,-9.695915,-18.908478,1.0,6.139775e-09,1.0,6.1397745e-09,0.0,4.440892e-16,0
180,train,9.364831,-8.41324,-17.778072,1.0,1.901434e-08,1.0,1.9014342e-08,0.0,1.7763568e-15,0
181,train,10.917566,-9.303277,-20.220844,1.0,1.6527186e-09,1.0,1.6527186e-09,0.0,0.0,0
182,train,2.5157573,-2.0096035,-4.525361,0.9892853,0.0107147535,0.9892853,0.0107147535,0.0,0.0,0
183,train,0.6478869,-0.28340816,-0.93129504,0.71733797,0.28266206,0.71733797,0.28266206,0.0,0.0,0
184,train,7.3509235,-6.7790265,-14.12995,0.9999993,7.301979e-07,0.9999993,7.3019794e-07,0.0,5.684342e-14,0
185,train,16.151096,-15.442579,-31.593676,1.0,1.9012578e-14,1.0,1.901258e-14,0.0,1.6940659e-21,0
186,train,3.872478,-3.4986153,-7.3710933,0.99937123,0.0006287843,0.99937123,0.0006287843,0.0,0.0,0
187,train,-0.52614504,0.8550004,1.3811455,0.20082508,0.7991749,0.20082508,0.7991749,0.0,0.0,1
188,train,7.5822372,-6.845927,-14.428164,0.9999994,5.4191094e-07,0.9999994,5.4191094e-07,0.0,0.0,0
189,train,1.6414875,-1.2732445,-2.914732,0.94856995,0.0514301,0.94856995,0.051430095,0.0,3.7252903e-09,0
190,train,12.199025,-11.339669,-23.538694,1.0,5.987905e-11,1.0,5.9879046e-11,0.0,6.938894e-18,0
191,train,-0.83941704,1.2931199,2.132537,0.10597439,0.89402556,0.1059744,0.89402556,7.450581e-09,0.0,1
192,train,8.384215,-7.833711,-16.217926,0.9999999,9.049908e-08,0.9999999,9.049908e-08,0.0,0.0,0
193,train,9.674283,-8.663495,-18.337778,1.0,1.086436e-08,1.0,1.086436e-08,0.0,0.0,0
194,train,1.8092107,-1.4413474,-3.250558,0.96269315,0.037306845,0.96269315,0.037306845,0.0,0.0,0
195,train,10.540555,-9.4212675,-19.961823,1.0,2.1413646e-09,1.0,2.1413646e-09,0.0,0.0,0
196,train,13.8038435,-13.202243,-27.006086,1.0,1.8681241e-12,1.0,1.8681241e-12,0.0,0.0,0
197,train,14.356512,-13.805846,-28.162357,1.0,5.8781896e-13,1.0,5.8781896e-13,0.0,0.0,0
198,train,4.5906496,-4.291062,-8.881712,0.9998611,0.00013888687,0.9998611,0.00013888688,0.0,1.4551915e-11,0
199,train,5.0477653,-4.5574656,-9.60523,0.99993265,6.737088e-05,0.99993265,6.737088e-05,0.0,0.0,0
200,train,5.1667333,-4.7540245,-9.920757,0.9999509,4.9141516e-05,0.9999509,4.9141512e-05,0.0,3.637979e-12,0
201,train,7.3172956,-7.552923,-14.870218,0.99999964,3.4829412e-07,0.99999964,3.482941e-07,0.0,2.842171e-14,0
202,train,7.5359454,-6.9211626,-14.457108,0.9999995,5.264508e-07,0.9999995,5.2645083e-07,0.0,5.684342e-14,0
203,train,-2.2413437,2.8395665,5.08091,0.006175872,0.9938241,0.0061758715,0.9938241,4.656613e-10,0.0,1
204,train,11.520084,-10.433546,-21.95363,1.0,2.9218603e-10,1.0,2.9218603e-10,0.0,0.0,0
205,train,9.03812,-9.471259,-18.50938,1.0,9.151274e-09,1.0,9.151204e-09,0.0,7.0166095e-14,0
206,train,-0.54116166,0.99071825,1.5318799,0.17771882,0.82228124,0.1777188,0.82228124,1.4901161e-08,0.0,0
207,train,8.359697,-7.177365,-15.537062,0.9999999,1.7878689e-07,0.9999999,1.7878858e-07,0.0,1.6910917e-12,0
208,train,12.315995,-11.425488,-23.741484,1.0,4.888827e-11,1.0,4.888827e-11,0.0,0.0,0
209,train,15.280684,-14.316456,-29.597141,1.0,1.3999897e-13,1.0,1.3999899e-13,0.0,1.3552527e-20,0
210,train,5.874891,-5.567121,-11.442012,0.9999893,1.073477e-05,0.9999893,1.07347705e-05,0.0,9.094947e-13,0
211,train,8.30091,-7.589404,-15.890314,0.9999999,1.2558108e-07,0.9999999,1.2558108e-07,0.0,0.0,0
212,train,-4.624712,5.690988,10.315701,3.3108063e-05,0.99996686,3.3108063e-05,0.99996686,0.0,0.0,1
213,train,11.84873,-11.321054,-23.169785,1.0,8.659452e-11,1.0,8.6594516e-11,0.0,6.938894e-18,0
214,train,11.384917,-12.099316,-23.484234,1.0,6.323053e-11,1.0,6.323053e-11,0.0,0.0,0
215,train,3.6062806,-3.3035352,-6.909816,0.9990031,0.0009969467,0.9990031,0.0009969467,0.0,0.0,0
216,train,10.506162,-9.460224,-19.966385,1.0,2.131617e-09,1.0,2.131617e-09,0.0,0.0,0
217,train,11.479067,-10.707193,-22.18626,1.0,2.3154191e-10,1.0,2.3154191e-10,0.0,0.0,0
218,train,8.799208,-8.55771,-17.356918,1.0,2.8972512e-08,1.0,2.8972513e-08,0.0,1.7763568e-15,0
219,train,12.8481245,-12.283192,-25.131317,1.0,1.2178888e-11,1.0,1.2178887e-11,0.0,8.6736174e-19,0
220,train,10.352508,-9.584146,-19.936653,1.0,2.1959454e-09,1.0,2.1959456e-09,0.0,2.220446e-16,0
221,train,4.317751,-4.3158293,-8.63358,0.9998221,0.00017799444,0.9998221,0.00017799446,0.0,1.4551915e-11,0
222,train,-0.3169846,0.68935597,1.0063405,0.26769662,0.7323033,0.26769662,0.7323033,0.0,0.0,1
223,train,13.095973,-12.64967,-25.745644,1.0,6.5888415e-12,1.0,6.5888415e-12,0.0,0.0,0
224,train,1.2965957,-1.1244297,-2.4210253,0.9184166,0.08158341,0.9184166,0.0815834,0.0,7.450581e-09,0
225,train,16.00241,-15.179371,-31.181782,1.0,2.87028e-14,1.0,2.87028e-14,0.0,0.0,0
226,train,10.281472,-10.713801,-20.995274,1.0,7.6184836e-10,1.0,7.6184836e-10,0.0,0.0,0
227,train,4.2799544,-3.9277706,-8.207726,0.99972755,0.00027246567,0.99972755,0.00027246567,0.0,0.0,0
